name,address,latitude,longitude,rating,borough,shop_id,Unnamed: 0,Code,Area,Value,Code_earnings,Area_earnings,Pay_2021
Retromania Fara London,"6 Upper Tachbrook St, London",51.4933772,-0.1399568,4.3,Westminster,588,3857.0,E09000033,Westminster,"1,070,000",00BK,Westminster,771.6
ACADEMY COSTUMES & REPRODUCTIONS,"229 Waterloo Rd, London",51.4998143,-0.1068619,5.0,Southwark,589,3852.0,E09000028,Southwark,"520,000",00BE,Southwark,631.9
Flea London Vintage & Makers Market,"Vinegar Yard, St Thomas St, London",51.50259699999999,-0.0834464999999999,4.0,Southwark,590,3852.0,E09000028,Southwark,"520,000",00BE,Southwark,631.9
All Loved Up Boutique,"All Loved Up Boutique, 91 Charlwood St, London",51.4880187,-0.1412302,5.0,Westminster,591,3857.0,E09000033,Westminster,"1,070,000",00BK,Westminster,771.6
Bermondsey Antique Market,"11 Bermondsey Sq, London",51.4972798,-0.0812958,3.9,Southwark,592,3852.0,E09000028,Southwark,"520,000",00BE,Southwark,631.9
The Rabbithole,"Vinegar Yard, 72-82 St Thomas St, London",51.5028073,-0.0838078,5.0,Southwark,593,3852.0,E09000028,Southwark,"520,000",00BE,Southwark,631.9
PICKNWEIGHT - VINTAGE KILO STORE,"14-18 Neal St, London",51.5138476,-0.1248029,3.6,Westminster,594,3857.0,E09000033,Westminster,"1,070,000",00BK,Westminster,771.6
Reign Vintage,"12 Berwick St, London",51.51340130000001,-0.1345882,4.3,Westminster,595,3857.0,E09000033,Westminster,"1,070,000",00BK,Westminster,771.6
Hunky Dory Vintage,"226 Brick Ln, London",51.52473939999999,-0.0715639,4.5,Tower Hamlets,596,3854.0,E09000030,Tower Hamlets,"475,000",00BG,Tower Hamlets,680.3
Wow Retro London Covent Garden,"179 Drury Ln, London",51.51564699999999,-0.1234713,4.3,Camden,597,3831.0,E09000007,Camden,"717,500",00AG,Camden,694.2
The Brick Lane Vintage Market,"85 Brick Ln, London",51.52079579999999,-0.0720977,4.3,Tower Hamlets,598,3854.0,E09000030,Tower Hamlets,"475,000",00BG,Tower Hamlets,680.3
Blackout II - Vintage Clothing London,"51 Endell St, London",51.5148867,-0.125315,3.9,Camden,599,3831.0,E09000007,Camden,"717,500",00AG,Camden,694.2
